0,West ચિરાગ,India,outdoor
1,село Могилів-Подільський,Ukraine,outdoor
2,Σέρρες,Greece,outdoor
3,Rodriguezborough,Australia,gym
4,Lake Jacqueline,United Kingdom,gym
5,Port Jeremytown,Albania,home
6,Vorbasse,Denmark,gym
7,شهرستان محیا,"Iran, Islamic Republic of",home
8,David,France,outdoor
9,місто Андрушівка,Ukraine,gym
10,ქუთაისი,Georgia,home
11,Davidshire,Switzerland,home
12,花蓮縣,"Taiwan, Province of China",home
13,Şirvan,Azerbaijan,outdoor
14,Suurshire,Estonia,outdoor
15,ქარელი,Georgia,outdoor
16,Marie-Christinefurt,Belgium,gym
17,Thành phố JohnHuyện,Viet Nam,home
18,Nova Gradiška,Croatia,home
19,Paiane,Italy,gym
20,수원시 팔달구,"Korea, Republic of",home
21,St. Justin,Australia,home
22,Wieselburg,Austria,gym
23,Tiruppur,India,home
24,South Ianbury,United Arab Emirates,home
25,Slovenj Gradec,Slovenia,gym
26,Port Dorotejatown,Latvia,home
27,Овнарскиfort,Bulgaria,outdoor
28,Cameronland,Bosnia and Herzegovina,home
29,Shawn Ville,Philippines,home
30,روستای محدثه,"Iran, Islamic Republic of",home
31,桃園市,"Taiwan, Province of China",outdoor
32,फतेहपुर,India,outdoor
33,Wilsonton,United States,home
34,West Mary,Egypt,outdoor
35,Lənkəran,Azerbaijan,gym
36,село Скадовськ,Ukraine,gym
37,Jack Ville,Philippines,outdoor
38,Fehring,Austria,gym
39,Riveraburgh,Cyprus,outdoor
40,South Teresa,United Kingdom,home
41,Lertsattayanusakview,Thailand,outdoor
42,West Adigunborough,Nigeria,outdoor
43,New Ромелchester,Bulgaria,outdoor
44,хутір Мирноград,Ukraine,outdoor
45,Marchaltown,Belgium,outdoor
46,Tasikmalaya,Indonesia,home
47,New Baaba,Ghana,gym
48,West وفاءland,Saudi Arabia,gym
49,Baie Alex Est,Canada,outdoor
50,Harrellshire,Jordan,outdoor
51,Port Bunmishire,Nigeria,outdoor
52,Andreastrand,Norway,gym
53,Teplá,Czechia,gym
54,横浜市神奈川区,Japan,outdoor
55,Hermanovce,Slovakia,gym
56,Lake Пупиview,Bulgaria,home
57,Դաստակերտ,Armenia,gym
58,East Eduardoborough,Luxembourg,home
59,North Yazan,Pakistan,gym
60,Salatiga,Indonesia,home
61,Szigetszentmiklós,Hungary,home
62,Autumn Ville,Philippines,gym
63,Guipúzcoa,Spain,home
64,Wakatipu,New Zealand,gym
65,ସମ୍ବିତview,India,outdoor
66,Stevenview,Australia,gym
67,Saradal,Norway,outdoor
68,Peter Ville,Ireland,home
69,Gosselies,Belgium,gym
70,Yves -sur-Mer,Canada,outdoor
71,"இராஜபாளையம், விருதுநகர் மாவட்டம்",India,gym
72,Majdstad,Pakistan,gym
73,New Sarahborough,Egypt,gym
74,Rosiori de Vede,Romania,home
75,Chambersport,United States,gym
76,Olanrewajufurt,Nigeria,home
77,León,Spain,gym
78,Ormož,Slovenia,home
79,East Louis,Cyprus,gym
80,सर्लाही,Nepal,outdoor
81,da Mota Paulista,Brazil,home
82,Siikainen,Finland,outdoor
